"filename", "language", "YAML", "Properties", "Groovy", "C++", "XML", "Dart", "JSON", "Markdown", "Swift", "HTML", "SVG", "comment", "blank", "total"
"c:\dev\projects\TCC3\museo\lib\utilities\dialogs\start_dialog.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\dev\projects\TCC3\museo\lib\utilities\menu\menu.dart", "Dart", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 8, 5, 243
"c:\dev\projects\TCC3\museo\lib\utilities\menu\menu_items.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\dev\projects\TCC3\museo\lib\utilities\registeringOrLogging\generic_textfield.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 3, 6, 77
"c:\dev\projects\TCC3\museo\lib\utilities\widget\custom_page_route.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"c:\dev\projects\TCC3\museo\lib\views\about\application_view.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"c:\dev\projects\TCC3\museo\lib\views\about\movi_view.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"c:\dev\projects\TCC3\museo\lib\views\favorite\favorite_view.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\dev\projects\TCC3\museo\lib\views\onboarding\onboarding_screen_view.dart", "Dart", 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 21, 239
"c:\dev\projects\TCC3\museo\lib\views\quiz\components\main\build_continue_button.dart", "Dart", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 6, 77
"c:\dev\projects\TCC3\museo\lib\views\quiz\components\main\build_options.dart", "Dart", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 7, 84
"c:\dev\projects\TCC3\museo\lib\views\quiz\components\main\build_question.dart", "Dart", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 3, 5, 83
"c:\dev\projects\TCC3\museo\lib\views\quiz\components\main\build_question_count.dart", "Dart", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 4, 30
"c:\dev\projects\TCC3\museo\lib\views\quiz\components\main\build_question_options.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"c:\dev\projects\TCC3\museo\lib\views\quiz\components\main\build_quizz_title.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 4, 36
"c:\dev\projects\TCC3\museo\lib\views\quiz\components\result\build_background_container.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\dev\projects\TCC3\museo\lib\views\quiz\components\result\build_result_container.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 7, 4, 62
"c:\dev\projects\TCC3\museo\lib\views\quiz\components\result\build_row_share_and_continue_button.dart", "Dart", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 4, 4, 67
"c:\dev\projects\TCC3\museo\lib\views\quiz\quiz_result_view.dart", "Dart", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 4, 11, 112
"c:\dev\projects\TCC3\museo\lib\views\quiz\quiz_view.dart", "Dart", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 1, 16, 141
"c:\dev\projects\TCC3\museo\lib\views\search_view.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\dev\projects\TCC3\museo\lib\views\sections_view.dart", "Dart", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 11, 3, 191
"c:\dev\projects\TCC3\museo\lib\views\store\checkout\checkout_view.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 2, 4, 52
